user_id,count_futures_trader,count_index_options_non_scalper,count_index_options_scalper,count_index_options_seller,count_investor,count_stock_options_non_scalper,count_stock_options_scalper,count_stock_options_seller,count_stock_trader,count_unmapped,pct_futures_trader,pct_index_options_non_scalper,pct_index_options_scalper,pct_index_options_seller,pct_investor,pct_stock_options_non_scalper,pct_stock_options_scalper,pct_stock_options_seller,pct_stock_trader,pct_unmapped,total_trades,primary_persona
d5iuvhufa7qs73fg38o0,0,0,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,7,stock trader
d5jnh16fa7qs73fgckv0,0,3,0,214,0,0,0,0,0,0,0.0,1.38,0.0,98.62,0.0,0.0,0.0,0.0,0.0,0.0,217,index options seller
d5jql96fa7qs73fgeai0,0,0,48,0,0,0,0,0,1,0,0.0,0.0,97.96,0.0,0.0,0.0,0.0,0.0,2.04,0.0,49,index options scalper
d5jtf6ufa7qs73fgge0g,0,45,0,0,0,3,0,0,0,0,0.0,93.75,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,48,index options non-scalper
d5k3naefa7qs73fghkn0,0,0,0,0,1,0,0,0,6,0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,85.71,0.0,7,stock trader
d5k9gb27gegc739to6m0,0,3,269,0,0,0,0,0,0,0,0.0,1.1,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272,index options scalper
d5kcr9q7gegc739tq0fg,0,4,221,0,0,0,0,0,0,0,0.0,1.78,98.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,index options scalper
d5kf80mfa7qs73fgna40,0,487,332,1,0,0,0,0,16,0,0.0,58.25,39.71,0.12,0.0,0.0,0.0,0.0,1.91,0.0,836,mixed
d5kpirefa7qs73fgqr50,0,5,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,index options non-scalper
d5kr4iefa7qs73fgrds0,0,0,0,0,0,47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,47,stock options non-scalper
d5l261q7gegc739u30i0,0,305,0,2,0,0,0,0,0,0,0.0,99.35,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,307,index options non-scalper
d5l2lnmfa7qs73fgv8kg,0,2,138,0,0,8,0,0,137,0,0.0,0.7,48.42,0.0,0.0,2.81,0.0,0.0,48.07,0.0,285,mixed
d5l33c27gegc739u3e10,0,16,18,0,0,0,1,0,0,0,0.0,45.71,51.43,0.0,0.0,0.0,2.86,0.0,0.0,0.0,35,mixed
d5lkuamfa7qs73fh6j0g,0,0,0,0,19,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,19,investor
d5lpe027gegc739ud07g,0,44,19,140,0,0,0,0,0,0,0.0,21.67,9.36,68.97,0.0,0.0,0.0,0.0,0.0,0.0,203,index options seller
d5lsbkmfa7qs73fhbcm0,2,5,0,0,2,1,0,0,0,0,20.0,50.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,10,mixed
d5m49ji7gegc739uh9tg,0,59,16,0,0,0,0,0,0,0,0.0,78.67,21.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,index options non-scalper
d5mfu4mfa7qs73fhjhqg,0,0,0,0,0,0,0,0,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64,stock trader
d5mq43a7gegc739uqg10,0,0,11,0,0,0,0,0,2,0,0.0,0.0,84.62,0.0,0.0,0.0,0.0,0.0,15.38,0.0,13,index options scalper
d5mr1ai7gegc739uqv8g,4,20,0,0,0,10,0,0,0,0,11.76,58.82,0.0,0.0,0.0,29.41,0.0,0.0,0.0,0.0,34,mixed
d5nn7bmfa7qs73fi34vg,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9,index options seller
d5oahga7gegc739vf2o0,0,0,0,0,0,0,0,0,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,73,stock trader
d5omnt6fa7qs73figejg,0,87,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,index options non-scalper
d5oqfcq7gegc739vl7mg,0,228,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228,index options non-scalper
d5osg66fa7qs73fiif4g,0,2,0,4,0,0,0,0,0,0,0.0,33.33,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,6,index options seller
d5ovvmmfa7qs73fik18g,0,3,482,2,0,0,0,0,0,0,0.0,0.62,98.97,0.41,0.0,0.0,0.0,0.0,0.0,0.0,487,index options scalper
d5pir8efa7qs73firqig,0,323,357,1,0,0,0,0,0,0,0.0,47.43,52.42,0.15,0.0,0.0,0.0,0.0,0.0,0.0,681,mixed
d5pjjha7gegc73a00720,0,0,0,0,26,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,26,investor
d5pnc8i7gegc73a01t9g,0,485,0,189,0,0,0,0,0,0,0.0,71.96,0.0,28.04,0.0,0.0,0.0,0.0,0.0,0.0,674,index options non-scalper
d5q3vdufa7qs73fj22m0,0,8,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,index options non-scalper
d5q59tefa7qs73fj2k1g,40,43,18,34,1,0,0,0,0,0,29.41,31.62,13.24,25.0,0.74,0.0,0.0,0.0,0.0,0.0,136,mixed
d5qbeea7gegc73a095qg,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8,index options seller
d5qf02ufa7qs73fj746g,0,6,47,201,0,0,0,0,6,0,0.0,2.31,18.08,77.31,0.0,0.0,0.0,0.0,2.31,0.0,260,index options seller
d5qgs86fa7qs73fj8c9g,0,3,392,3,0,0,0,0,0,0,0.0,0.75,98.49,0.75,0.0,0.0,0.0,0.0,0.0,0.0,398,index options scalper
d5qqaqq7gegc73a0e22g,2,39,0,129,0,1,0,0,0,0,1.17,22.81,0.0,75.44,0.0,0.58,0.0,0.0,0.0,0.0,171,index options seller
d5qvi0efa7qs73fjcf7g,0,119,103,0,0,3,0,0,0,0,0.0,52.89,45.78,0.0,0.0,1.33,0.0,0.0,0.0,0.0,225,mixed
d5re52mfa7qs73fjh3fg,0,0,0,0,26,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,26,investor
d5rga7mfa7qs73fjhs60,0,212,3,0,0,50,0,0,0,0,0.0,80.0,1.13,0.0,0.0,18.87,0.0,0.0,0.0,0.0,265,index options non-scalper
d5rh2oufa7qs73fji790,0,440,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440,index options non-scalper
